TERYT;Name;Revenue per person
1007072;Sławno (2);5500.80
1007082;Żarnów (2);5652.07
1008000;Powiat pabianicki;5256.46
1008011;Konstantynów Łódzki (1);5099.58
1008021;Pabianice (1);4811.88
1008032;Dłutów (2);5485.73
1008042;Dobroń (2);5786.53
1008052;Ksawerów (2);7025.11
1008062;Lutomiersk (2);5187.05
1008072;Pabianice (2);6991.18
1009000;Powiat pajęczański;6306.31
1009013;Działoszyn (3);5398.43
1009022;Kiełczygłów (2);4913.09
1009032;Nowa Brzeźnica (2);5217.41
1009043;Pajęczno (3);5158.02
1009052;Rząśnia (2);11250.54
1009062;Siemkowice (2);5516.40
1009072;Strzelce Wielkie (2);5006.43
1009082;Sulmierzyce (2);10857.72
1010000;Powiat piotrkowski;5641.69
1010012;Aleksandrów (2);5609.64
1010022;Czarnocin (2);5990.79
1010032;Gorzkowice (2);5052.47
1010042;Grabica (2);6530.48
1010052;Łęki Szlacheckie (2);5517.51
1010062;Moszczenica (2);5422.66
1010072;Ręczno (2);4824.38
1010082;Rozprza (2);5036.61
1010093;Sulejów (3);5440.79
1010102;Wola Krzysztoporska (2);6040.30
1010113;Wolbórz (3);6962.58
1011000;Powiat poddębicki;6590.62
1011012;Dalików (2);6753.09
1011022;Pęczniew (2);5321.85
1011033;Poddębice (3);6617.30
1011043;Uniejów (3);8022.23
1011052;Wartkowice (2);6259.02
1011062;Zadzim (2);5667.38
1012000;Powiat radomszczański;5481.28
1012011;Radomsko (1);5261.42
1012022;Dobryszyce (2);5297.69
1012032;Gidle (2);4967.83
1012042;Gomunice (2);5479.94
1012053;Kamieńsk (3);8583.39
1012062;Kobiele Wielkie (2);4905.58
1012072;Kodrąb (2);4959.45
1012082;Lgota Wielka (2);6102.84
1012092;Ładzice (2);5133.12
1012102;Masłowice (2);6085.40
1012113;Przedbórz (3);5325.42
1012122;Radomsko (2);5351.07
1012132;Wielgomłyny (2);5361.07
1012142;Żytno (2);5396.36
1013000;Powiat rawski;5619.60
1013011;Rawa Mazowiecka (1);5895.16
1013023;Biała Rawska (3);5330.95
1013032;Cielądz (2);5585.35
1013042;Rawa Mazowiecka (2);5656.81
1013052;Regnów (2);5284.90
1013062;Sadkowice (2);5416.43
1014000;Powiat sieradzki;5128.68
1014011;Sieradz (1);4707.77
1014023;Błaszki (3);5067.27
1014032;Brąszewice (2);6201.20
1014042;Brzeźnio (2);5114.97
1014052;Burzenin (2);5382.97
1014062;Goszczanów (2);5093.37
1014072;Klonowa (2);6213.37
1014082;Sieradz (2);5414.77
1014093;Warta (3);5246.53
1014102;Wróblew (2);5657.40
1014113;Złoczew (3);5360.18
1015000;Powiat skierniewicki;6286.43
1015012;Bolimów (2);5923.57
1015022;Głuchów (2);5931.08
1015032;Godzianów (2);6808.07
1015042;Kowiesy (2);6032.15
1015052;Lipce Reymontowskie (2);6860.13
1015062;Maków (2);7126.03
1015072;Nowy Kawęczyn (2);5506.39
1015082;Skierniewice (2);6468.66
1015092;Słupia (2);5194.19
1016000;Powiat tomaszowski;5690.46
1016011;Tomaszów Mazowiecki (1);5085.03
1016022;Będków (2);5137.83
1016032;Budziszewice (2);5365.63
1016042;Czerniewice (2);6326.29
1016052;Inowłódz (2);7582.72
1016062;Lubochnia (2);7307.24
1016072;Rokiciny (2);5577.52
1016082;Rzeczyca (2);6115.93
1016092;Tomaszów Mazowiecki (2);6019.39
1016102;Ujazd (2);7087.65
1016112;Żelechlinek (2);6300.00
1017000;Powiat wieluński;5242.23
1017012;Biała (2);5773.33
1017022;Czarnożyły (2);4526.52
1017032;Konopnica (2);5436.79
1017042;Mokrsko (2);5536.97
1017052;Osjaków (2);6301.37
1017062;Ostrówek (2);5271.14
1017072;Pątnów (2);5075.36
1017082;Skomlin (2);5822.99
1017093;Wieluń (3);4991.04
1017102;Wierzchlas (2);5229.58
1018000;Powiat wieruszowski;5415.84
1018012;Bolesławiec (2);5063.56
1018022;Czastary (2);5020.79
1018032;Galewice (2);5656.85
1018043;Lututów (3);5518.49
1018052;Łubnice (2);5768.24
1018062;Sokolniki (2);5964.48
1018073;Wieruszów (3);5197.73
1019000;Powiat zduńskowolski;4778.38
1019011;Zduńska Wola (1);4517.57
1019023;Szadek (3);4893.38
1019032;Zapolice (2);5444.62
1019042;Zduńska Wola (2);5311.44
1020000;Powiat zgierski;5548.74
1020011;Głowno (1);4562.56
1020021;Ozorków (1);5194.08
1020031;Zgierz (1);5340.25
1020043;Aleksandrów Łódzki (3);5499.81
1020052;Głowno (2);5142.33
1020062;Ozorków (2);5367.97
1020072;Parzęczew (2);5729.02
1020083;Stryków (3);8703.61
1020092;Zgierz (2);5277.02
1021000;Powiat brzeziński;5401.22
1021011;Brzeziny (1);5567.60
1021022;Brzeziny (2);5068.14
1021032;Dmosin (2);5366.51
1021042;Jeżów (2);5614.49
1021052;Rogów (2);5251.17
1061000;Powiat m.Łódź;7271.77
1061011;Łódź (1);7271.77
1062000;Powiat m.Piotrków Trybunalski;7222.27
1062011;Piotrków Trybunalski (1);7222.27
1063000;Powiat m.Skierniewice;7647.37
1063011;Skierniewice (1);7647.37
1200000;MAŁOPOLSKIE;6390.90
1201000;Powiat bocheński;5943.54
1201011;Bochnia (1);5640.41
1201022;Bochnia (2);5413.81
1201032;Drwinia (2);7519.34
1201042;Lipnica Murowana (2);5920.60
1201052;Łapanów (2);6697.66
1201063;Nowy Wiśnicz (3);5749.40
1201072;Rzezawa (2);5759.25
1201082;Trzciana (2);6902.71
1201092;Żegocina (2);6440.75
1202000;Powiat brzeski;5523.43
1202012;Borzęcin (2);5578.58
1202023;Brzesko (3);4881.87
1202033;Czchów (3);5865.28
1202042;Dębno (2);5222.47
1202052;Gnojnik (2);7746.53
1202062;Iwkowa (2);5946.97
1202072;Szczurowa (2);5866.86
1203000;Powiat chrzanowski;4849.31
1203013;Alwernia (3);4909.55
1203022;Babice (2);5021.23
1203033;Chrzanów (3);4960.31
1203043;Libiąż (3);4427.51
1203053;Trzebinia (3);4905.19
1204000;Powiat dąbrowski;5075.43
1204012;Bolesław (2);4310.31
1204023;Dąbrowa Tarnowska (3);4859.58
1204032;Gręboszów (2);5526.27
1204042;Mędrzechów (2);5607.79
1204052;Olesno (2);5014.88
1204062;Radgoszcz (2);5376.47
1204073;Szczucin (3);5189.84
1205000;Powiat gorlicki;6298.50
1205011;Gorlice (1);5306.94
1205023;Biecz (3);5505.92
1205033;Bobowa (3);7473.96
1205042;Gorlice (2);5391.95
1205052;Lipinki (2);6063.52
1205062;Łużna (2);6181.47
1205072;Moszczenica (2);9433.75
1205082;Ropa (2);6808.92
1205092;Sękowa (2);10565.91
1205102;Uście Gorlickie (2);7380.72
1206000;Powiat krakowski;6221.35
1206012;Czernichów (2);5739.52
1206022;Igołomia-Wawrzeńczyce (2);5765.02
1206032;Iwanowice (2);5603.94
1206042;Jerzmanowice-Przeginia (2);6814.71
1206052;Kocmyrzów-Luborzyca (2);6608.06
1206063;Krzeszowice (3);5060.20
1206072;Liszki (2);5678.60
1206082;Michałowice (2);6264.38
1206092;Mogilany (2);6511.13
1206103;Skała (3);5771.28
1206113;Skawina (3);6250.42
1206123;Słomniki (3);6622.45
1206132;Sułoszowa (2);6019.78
1206143;Świątniki Górne (3);7042.80
1206152;Wielka Wieś (2);7459.76
1206162;Zabierzów (2);6417.09
1206172;Zielonki (2);6878.31
1207000;Powiat limanowski;6019.70
1207011;Limanowa (1);7155.92
1207021;Mszana Dolna (1);5390.27
1207032;Dobra (2);5933.33
1207042;Jodłownik (2);5767.08
1207052;Kamienica (2);5920.72
1207062;Laskowa (2);6370.82
1207072;Limanowa (2);5777.55
1207082;Łukowica (2);6477.41
1207092;Mszana Dolna (2);5443.97
1207102;Niedźwiedź (2);5988.33
1207112;Słopnice (2);6575.61
1207122;Tymbark (2);5548.46
1208000;Powiat miechowski;5566.99
1208012;Charsznica (2);5556.33
1208022;Gołcza (2);5008.22
1208032;Kozłów (2);5003.31
1208042;Książ Wielki (2);6813.21
1208053;Miechów (3);5526.85
1208062;Racławice (2);6295.68
1208072;Słaboszów (2);5196.84
1209000;Powiat myślenicki;5894.40
1209013;Dobczyce (3);6879.99
1209022;Lubień (2);5207.83
1209033;Myślenice (3);5983.90
1209042;Pcim (2);5583.29
1209052;Raciechowice (2);6253.09
1209062;Siepraw (2);5849.78
1209073;Sułkowice (3);4938.42
1209082;Tokarnia (2);5819.77
1209092;Wiśniowa (2);6491.82
1210000;Powiat nowosądecki;6216.21
1210011;Grybów (1);6468.14
1210022;Chełmiec (2);6106.13
1210032;Gródek nad Dunajcem (2);5923.39
1210042;Grybów (2);5979.83
1210052;Kamionka Wielka (2);6268.06
1210062;Korzenna (2);6221.37
1210073;Krynica-Zdrój (3);7524.92
1210082;Łabowa (2);5864.25
1210092;Łącko (2);6783.92
1210102;Łososina Dolna (2);5429.77
1210113;Muszyna (3);7248.03
1210122;Nawojowa (2);5873.26
1210133;Piwniczna-Zdrój (3);5757.23
1210142;Podegrodzie (2);5636.12
1210152;Rytro (2);5657.86
1210163;Stary Sącz (3);6019.91
1211000;Powiat nowotarski;5688.97
1211011;Nowy Targ (1);5498.71
1211023;Szczawnica (3);5772.85
1211032;Czarny Dunajec (2);5298.67
1211042;Czorsztyn (2);5953.58
1211052;Jabłonka (2);5609.30
1211062;Krościenko nad Dunajcem (2);7097.44
1211072;Lipnica Wielka (2);5941.10
1211082;Łapsze Niżne (2);5867.99
1211092;Nowy Targ (2);6012.20
1211102;Ochotnica Dolna (2);7058.81
1211112;Raba Wyżna (2);5064.57
1211123;Rabka-Zdrój (3);5194.03
1211132;Spytkowice (2);5545.70
1211142;Szaflary (2);5704.26
1212000;Powiat olkuski;5376.83
1212011;Bukowno (1);5784.68
1212032;Bolesław (2);7258.74
1212042;Klucze (2);5633.20
1212053;Olkusz (3);5077.28
1212062;Trzyciąż (2);5223.58
1212073;Wolbrom (3);5070.71
1213000;Powiat oświęcimski;5593.17
1213011;Oświęcim (1);6138.91
1213023;Brzeszcze (3);5882.07
1213033;Chełmek (3);5097.88
1213043;Kęty (3);4857.68
1213052;Osiek (2);5087.74
1213062;Oświęcim (2);5170.53
1213072;Polanka Wielka (2);6185.08
1213082;Przeciszów (2);5810.89
1213093;Zator (3);6963.85
1214000;Powiat proszowicki;5787.72
1214012;Koniusza (2);5189.98
1214023;Koszyce (3);4806.40
1214033;Nowe Brzesko (3);5918.29
1214042;Pałecznica (2);9167.68
1214053;Proszowice (3);5771.91
1214062;Radziemice (2);5246.47
1215000;Powiat suski;5580.13
1215011;Jordanów (1);8720.66
1215021;Sucha Beskidzka (1);5978.94
1215032;Budzów (2);5493.77
1215042;Bystra-Sidzina (2);6410.16
1215052;Jordanów (2);5554.13
1215063;Maków Podhalański (3);4890.12
1215072;Stryszawa (2);4971.69
1215082;Zawoja (2);5419.52
1215092;Zembrzyce (2);4624.76
1216000;Powiat tarnowski;5262.33
1216013;Ciężkowice (3);7122.75
1216022;Gromnik (2);5025.35
1216032;Lisia Góra (2);5268.40
1216042;Pleśna (2);4753.97
1216053;Radłów (3);5105.25
1216063;Ryglice (3);5551.59
1216072;Rzepiennik Strzyżewski (2);6335.05
1216082;Skrzyszów (2);5005.11
1216092;Tarnów (2);4787.22
1216103;Tuchów (3);5141.00
1216112;Wierzchosławice (2);4631.10
1216122;Wietrzychowice (2);3993.71
1216133;Wojnicz (3);5426.67
1216143;Zakliczyn (3);6153.82
1216153;Żabno (3);4697.59
1216162;Szerzyny (2);5972.47
1217000;Powiat tatrzański;6404.19
1217011;Zakopane (1);7017.74
1217022;Biały Dunajec (2);5003.73
1217032;Bukowina Tatrzańska (2);6036.73
1217042;Kościelisko (2);6789.25
1217052;Poronin (2);5979.80
1218000;Powiat wadowicki;5460.90
1218013;Andrychów (3);4869.40
1218022;Brzeźnica (2);5671.44
1218033;Kalwaria Zebrzydowska (3);5484.76
1218042;Lanckorona (2);5852.84
1218052;Mucharz (2);6005.46
1218062;Spytkowice (2);5795.93
1218072;Stryszów (2);6713.73
1218082;Tomice (2);5032.13
1218093;Wadowice (3);5726.14
1218102;Wieprz (2);5439.40
1219000;Powiat wielicki;6487.58
1219012;Biskupice (2);5952.36
1219022;Gdów (2);5392.45
1219032;Kłaj (2);6220.04
1219043;Niepołomice (3);7638.10
1219053;Wieliczka (3);6402.51
1261000;Powiat m.Kraków;7937.37
1261011;Kraków (1);7937.37
1262000;Powiat m.Nowy Sącz;7970.70
1262011;Nowy Sącz (1);7970.70
1263000;Powiat m.Tarnów;7612.84
1263011;Tarnów (1);7612.84
1400000;MAZOWIECKIE;7656.00
1401000;Powiat białobrzeski;5962.93
1401013;Białobrzegi (3);5800.16
1401022;Promna (2);5480.87
1401032;Radzanów (2);5788.11
1401042;Stara Błotnica (2);6939.43
1401052;Stromiec (2);6035.34
1401063;Wyśmierzyce (3);5755.59
1402000;Powiat ciechanowski;5590.21
1402011;Ciechanów (1);5296.35
1402022;Ciechanów (2);5777.30
1402033;Glinojeck (3);6293.85
1402042;Gołymin-Ośrodek (2);5605.35
1402052;Grudusk (2);5861.26
1402062;Ojrzeń (2);6734.98
1402072;Opinogóra Górna (2);5387.26
1402082;Regimin (2);6362.09
1402092;Sońsk (2);5272.72
1403000;Powiat garwoliński;5702.71
1403011;Garwolin (1);5487.32
1403021;Łaskarzew (1);6312.12
1403032;Borowie (2);6041.06
1403042;Garwolin (2);5834.31
1403052;Górzno (2);5931.12
1403062;Łaskarzew (2);5597.88
1403072;Maciejowice (2);5717.11
1403082;Miastków Kościelny (2);6250.42
1403092;Parysów (2);5843.26
1403103;Pilawa (3);5415.83
1403112;Sobolew (2);5679.61
1403122;Trojanów (2);5896.24
1403132;Wilga (2);4933.80
1403143;Żelechów (3);5584.83
1404000;Powiat gostyniński;5009.19
1404011;Gostynin (1);4789.09
1404022;Gostynin (2);5259.27
1404032;Pacyna (2);4853.26
1404043;Sanniki (3);5068.72
1404052;Szczawin Kościelny (2);5267.85
1405000;Powiat grodziski;7275.20
1405011;Milanówek (1);6006.19
1405021;Podkowa Leśna (1);9821.06
1405032;Baranów (2);5667.43
1405043;Grodzisk Mazowiecki (3);7471.99
1405052;Jaktorów (2);8195.79
1405062;Żabia Wola (2);7109.45
1406000;Powiat grójecki;5578.32
1406012;Belsk Duży (2);6166.02
1406022;Błędów (2);5376.66
1406032;Chynów (2);5609.23
1406042;Goszczyn (2);5833.11
1406053;Grójec (3);5566.72
1406062;Jasieniec (2);5901.24
1406073;Mogielnica (3);5152.04
1406083;Nowe Miasto nad Pilicą (3);5839.24
1406092;Pniewy (2);6444.43
1406113;Warka (3);5199.86
1407000;Powiat kozienicki;6249.47
1407012;Garbatka-Letnisko (2);5198.36
1407022;Głowaczów (2);5186.41
1407032;Gniewoszów (2);5137.84
1407042;Grabów nad Pilicą (2);5767.28
1407053;Kozienice (3);7189.65
1407062;Magnuszew (2);5706.76
1407072;Sieciechów (2);4988.58
1408000;Powiat legionowski;6611.40
1408011;Legionowo (1);5680.65
1408022;Jabłonna (2);7885.17
1408032;Nieporęt (2);8002.22
1408043;Serock (3);6376.21
1408052;Wieliszew (2);7116.16
1409000;Powiat lipski;5310.02
1409012;Chotcza (2);5777.35
1409022;Ciepielów (2);6007.14
1409033;Lipsko (3);4423.82
1409042;Rzeczniów (2);6272.16
1409052;Sienno (2);5829.76
1410000;Powiat łosicki;5292.79
1410012;Huszlew (2);6643.13
1410023;Łosice (3);4774.33
1410032;Olszanka (2);5295.91
1410042;Platerów (2);5049.34
1410052;Sarnaki (2);5139.26
1410062;Stara Kornica (2);6070.27
1411000;Powiat makowski;5948.10
1411011;Maków Mazowiecki (1);6026.85
1411022;Czerwonka (2);5613.59
1411032;Karniewo (2);5343.81
1411042;Krasnosielc (2);5728.81
1411052;Młynarze (2);6689.88
1411062;Płoniawy-Bramura (2);5510.14
1411073;Różan (3);7754.96
1411082;Rzewnie (2);6238.36
1411092;Sypniewo (2);5825.16
1411102;Szelków (2);5209.50
1412000;Powiat miński;6238.70
1412011;Mińsk Mazowiecki (1);5605.87
1412042;Cegłów (2);5950.79
1412052;Dębe Wielkie (2);5606.62
1412062;Dobre (2);6307.10
1412073;Halinów (3);7525.38
1412082;Jakubów (2);5925.25
1412093;Kałuszyn (3);5496.10
1412102;Latowicz (2);6760.23
1412112;Mińsk Mazowiecki (2);5596.69
1412123;Mrozy (3);6679.07
1412132;Siennica (2);6153.99
1412142;Stanisławów (2);6036.42
1412151;Sulejówek (1);7447.82
1413000;Powiat mławski;5885.43
1413011;Mława (1);5846.17
1413022;Dzierzgowo (2);7067.17
1413032;Lipowiec Kościelny (2);5098.00
1413042;Radzanów (2);6480.67
1413052;Strzegowo (2);6145.16
1413062;Stupsk (2);5333.12
1413072;Szreńsk (2);5612.13
1413082;Szydłowo (2);5136.08
1413092;Wieczfnia Kościelna (2);6481.11
1413102;Wiśniewo (2);6329.29
1414000;Powiat nowodworski;6148.77
1414011;Nowy Dwór Mazowiecki (1);6324.22
1414022;Czosnów (2);7532.36
1414032;Leoncin (2);5463.30
1414043;Nasielsk (3);5322.70
1414052;Pomiechówek (2);6257.61
1414063;Zakroczym (3);6232.35
1415000;Powiat ostrołęcki;5979.32
1415012;Baranowo (2);5464.11
1415022;Czarnia (2);9276.33
1415032;Czerwin (2);5393.83
1415042;Goworowo (2);5219.93
1415052;Kadzidło (2);5614.07
1415062;Lelis (2);5250.10
1415072;Łyse (2);7465.82
1415083;Myszyniec (3);7097.10
1415092;Olszewo-Borki (2);5719.12
1415102;Rzekuń (2);5526.05
1415112;Troszyn (2);5815.17
1416000;Powiat ostrowski;5754.68
1416011;Ostrów Mazowiecka (1);5980.21
1416022;Andrzejewo (2);5828.80
1416032;Boguty-Pianki (2);6255.03
1416043;Brok (3);5381.62
1416052;Małkinia Górna (2);5075.70
1416062;Nur (2);6782.96
1416072;Ostrów Mazowiecka (2);5324.20
1416082;Stary Lubotyń (2);6155.20
1416092;Szulborze Wielkie (2);5609.13
1416102;Wąsewo (2);5829.17
1416112;Zaręby Kościelne (2);6736.49
1417000;Powiat otwocki;6246.39
1417011;Józefów (1);7189.70
1417021;Otwock (1);5764.01
1417032;Celestynów (2);5913.69
1417043;Karczew (3);6021.52
1417052;Kołbiel (2);5576.34
1417062;Osieck (2);5794.12
1417072;Sobienie-Jeziory (2);4876.62
1417082;Wiązowna (2);8159.43
1418000;Powiat piaseczyński;7433.56
1418013;Góra Kalwaria (3);6160.69
1418023;Konstancin-Jeziorna (3);7717.57
1418032;Lesznowola (2);9620.43
1418043;Piaseczno (3);7318.83
1418052;Prażmów (2);5811.92
1418063;Tarczyn (3);6749.18
1419000;Powiat płocki;5746.66
1419012;Bielsk (2);5263.22
1419022;Bodzanów (2);5278.31
1419032;Brudzeń Duży (2);5121.11
1419042;Bulkowo (2);5811.66
1419053;Drobin (3);6218.50
1419063;Gąbin (3);5545.22
1419072;Łąck (2);5283.12
1419082;Mała Wieś (2);5633.85
1419092;Nowy Duninów (2);5145.35
1419102;Radzanowo (2);4889.34
1419112;Słubice (2);5374.72
1419122;Słupno (2);8193.25
1419132;Stara Biała (2);6598.66
1419142;Staroźreby (2);5496.75
1419153;Wyszogród (3);5366.78
1420000;Powiat płoński;5935.59
1420011;Płońsk (1);6823.43
1420021;Raciąż (1);5928.10
1420032;Baboszewo (2);5570.44
1420043;Czerwińsk nad Wisłą (3);5558.43
1420052;Dzierzążnia (2);5375.16
1420062;Joniec (2);5626.90
1420072;Naruszewo (2);5402.94
1420082;Nowe Miasto (2);6918.85
1420092;Płońsk (2);5219.25
1420102;Raciąż (2);5419.00
1420122;Załuski (2);6318.90
1421000;Powiat pruszkowski;7167.72
1421011;Piastów (1);5852.82
1421021;Pruszków (1);6143.06
1421033;Brwinów (3);7179.18
1421042;Michałowice (2);9563.51
1421052;Nadarzyn (2);9645.88
1421062;Raszyn (2);7813.66
1422000;Powiat przasnyski;5811.05
1422011;Przasnysz (1);5121.08
1422023;Chorzele (3);6269.68
1422032;Czernice Borowe (2);5538.00
1422042;Jednorożec (2);6112.66
1422052;Krasne (2);5406.81
1422062;Krzynowłoga Mała (2);6668.58
1422072;Przasnysz (2);6450.29
1423000;Powiat przysuski;5127.62
1423012;Borkowice (2);5055.14
1423022;Gielniów (2);4739.66
1423032;Klwów (2);5649.11
1423042;Odrzywół (2);6712.40
1423052;Potworów (2);5698.54
1423063;Przysucha (3);4452.90
1423072;Rusinów (2);4910.59
1423082;Wieniawa (2);5292.99
1424000;Powiat pułtuski;5982.44
1424012;Gzy (2);6260.54
1424022;Obryte (2);5936.03
1424032;Pokrzywnica (2);6975.73
1424043;Pułtusk (3);5889.98
1424052;Świercze (2);5557.76
1424062;Winnica (2);6055.23
1424072;Zatory (2);5600.50
1425000;Powiat radomski;5306.44
1425011;Pionki (1);5344.58
1425022;Gózd (2);6271.11
1425033;Iłża (3);4864.41
1425042;Jastrzębia (2);5643.13
1425052;Jedlińsk (2);5390.74
1425062;Jedlnia-Letnisko (2);5135.86
1425072;Kowala (2);4957.70
1425082;Pionki (2);4983.56
1425092;Przytyk (2);5206.03
1425103;Skaryszew (3);5505.80
1425112;Wierzbica (2);5249.95
1425122;Wolanów (2);5197.98
1425132;Zakrzew (2);5490.67
1426000;Powiat siedlecki;5698.94
1426012;Domanice (2);6011.21
1426022;Korczew (2);6124.92
1426032;Kotuń (2);5547.10
1426042;Mokobody (2);5453.54
1426053;Mordy (3);4902.36
1426062;Paprotnia (2);7238.49
1426072;Przesmyki (2);5529.36
1426082;Siedlce (2);5576.74
1426092;Skórzec (2);5896.81
1426102;Suchożebry (2);5717.08
1426112;Wiśniew (2);5726.91
1426122;Wodynie (2);5527.13
1426132;Zbuczyn (2);5992.61
1427000;Powiat sierpecki;5395.84
1427011;Sierpc (1);4803.64
1427022;Gozdowo (2);5968.54
1427032;Mochowo (2);5353.24
1427042;Rościszewo (2);5658.86
1427052;Sierpc (2);5225.14
1427062;Szczutowo (2);6375.99
1427072;Zawidz (2);5903.96
1428000;Powiat sochaczewski;5855.05
1428011;Sochaczew (1);5536.31
1428022;Brochów (2);5251.93
1428032;Iłów (2);5905.55
1428042;Młodzieszyn (2);5461.09
1428052;Nowa Sucha (2);6065.95
1428062;Rybno (2);6403.71
1428072;Sochaczew (2);6667.31
1428082;Teresin (2);6180.49
1429000;Powiat sokołowski;5575.51
1429011;Sokołów Podlaski (1);5572.77
1429022;Bielany (2);8013.73
1429032;Ceranów (2);5105.89
1429042;Jabłonna Lacka (2);5199.66
1429053;Kosów Lacki (3);4962.97
1429062;Repki (2);6208.65
1429072;Sabnie (2);5521.36
1429082;Sokołów Podlaski (2);5080.77
1429092;Sterdyń (2);4940.30
1430000;Powiat szydłowiecki;4903.38
1430012;Chlewiska (2);4834.11
1430022;Jastrząb (2);5529.02
1430032;Mirów (2);5701.17
1430042;Orońsko (2);5139.55
1430053;Szydłowiec (3);4508.95
1432000;Powiat warszawski zachodni;7953.64
1432013;Błonie (3);7435.37
1432022;Izabelin (2);7534.24
1432032;Kampinos (2);8213.05
1432042;Leszno (2);6690.36
1432053;Łomianki (3);7498.33
1432063;Ożarów Mazowiecki (3);9542.91
1432072;Stare Babice (2);7893.48
1433000;Powiat węgrowski;5755.03
1433011;Węgrów (1);6062.94
1433022;Grębków (2);5473.19
1433032;Korytnica (2);5478.84
1433042;Liw (2);6408.94
1433053;Łochów (3);5690.16
1433062;Miedzna (2);5525.63
1433072;Sadowne (2);5423.27
1433082;Stoczek (2);5271.53
1433092;Wierzbno (2);6000.09
1434000;Powiat wołomiński;6170.03
1434011;Kobyłka (1);5948.57
1434021;Marki (1);6376.48
1434031;Ząbki (1);6911.43
1434041;Zielonka (1);6011.92
1434052;Dąbrówka (2);6951.61
1434062;Jadów (2);5262.44
1434072;Klembów (2);6269.37
1434082;Poświętne (2);7145.84
1434093;Radzymin (3);6939.77
1434102;Strachówka (2);6366.94
1434113;Tłuszcz (3);5377.35
1434123;Wołomin (3);5393.57
1435000;Powiat wyszkowski;5687.70
1435012;Brańszczyk (2);5872.76
1435022;Długosiodło (2);6110.95
1435032;Rząśnik (2);5753.77
1435042;Somianka (2);6842.41
1435053;Wyszków (3);5353.93
1435062;Zabrodzie (2);5942.36
1436000;Powiat zwoleński;5202.73
1436012;Kazanów (2);5763.98
1436022;Policzna (2);4750.53
1436032;Przyłęk (2);5675.49
1436042;Tczów (2);5706.32
1436053;Zwoleń (3);4841.48
1437000;Powiat żuromiński;5110.79
1437013;Bieżuń (3);5206.14
1437022;Kuczbork-Osada (2);5044.04
1437033;Lubowidz (3);5555.79
1437042;Lutocin (2);5259.27
1437052;Siemiątkowo (2);5957.15
1437063;Żuromin (3);4638.90
1438000;Powiat żyrardowski;6411.64
1438011;Żyrardów (1);6298.54
1438023;Mszczonów (3);7805.99
1438032;Puszcza Mariańska (2);5297.80
1438042;Radziejowice (2);7190.33
1461000;Powiat m.Ostrołęka;7634.92
1461011;Ostrołęka (1);7634.92
1462000;Powiat m.Płock;9411.86
1462011;Płock (1);9411.86
1463000;Powiat m.Radom;6954.93
1463011;Radom (1);6954.93
1464000;Powiat m.Siedlce;7153.13
1464011;Siedlce (1);7153.13
1465000;Powiat m. st. Warszawa;10346.74
1465011;M.st.Warszawa od 2002 (1);10346.74
1600000;OPOLSKIE;5760.86
1601000;Powiat brzeski;5147.87
1601011;Brzeg (1);4995.22
1601022;Skarbimierz (2);6453.42
1601033;Grodków (3);5239.06
1601043;Lewin Brzeski (3);4875.60
1601052;Lubsza (2);4784.04
1601062;Olszanka (2);5072.49
1602000;Powiat głubczycki;5049.17
1602013;Baborów (3);5263.58
1602022;Branice (2);5219.62
1602033;Głubczyce (3);4952.86
1602043;Kietrz (3);5027.90
1603000;Powiat kędzierzyńsko-kozielski;4992.04
1603011;Kędzierzyn-Koźle (1);4998.71
1603022;Bierawa (2);4972.61
1603032;Cisek (2);4841.76
1603042;Pawłowiczki (2);4933.43
1603052;Polska Cerekiew (2);4728.79
1603062;Reńska Wieś (2);5242.53
1604000;Powiat kluczborski;5095.67
1604013;Byczyna (3);5813.79
1604023;Kluczbork (3);5050.20
1604032;Lasowice Wielkie (2);4745.49
1604043;Wołczyn (3);4901.44
1605000;Powiat krapkowicki;5267.03
1605013;Gogolin (3);6619.80
1605023;Krapkowice (3);5232.38
1605032;Strzeleczki (2);5269.85
1605042;Walce (2);5106.32
1605053;Zdzieszowice (3);4273.94
1606000;Powiat namysłowski;5366.55
1606012;Domaszowice (2);5468.05
1606023;Namysłów (3);5037.36
1606032;Pokój (2);6029.50
1606042;Świerczów (2);5446.87
1606052;Wilków (2);6411.69
1607000;Powiat nyski;5373.45
1607013;Głuchołazy (3);4598.54
1607022;Kamiennik (2);5655.31
1607033;Korfantów (3);5184.60
1607042;Łambinowice (2);4913.31
1607053;Nysa (3);5877.43
1607063;Otmuchów (3);5490.45
1607073;Paczków (3);4907.82
1607082;Pakosławice (2);4899.76
1607092;Skoroszyce (2);5302.44
1608000;Powiat oleski;5010.90
1608013;Dobrodzień (3);5265.92
1608023;Gorzów Śląski (3);4784.07
1608033;Olesno (3);4736.96
1608043;Praszka (3);4957.21
1608052;Radłów (2);5369.19
1608062;Rudniki (2);5367.41
1608072;Zębowice (2);5081.56
1609000;Powiat opolski;4996.55
1609012;Chrząstowice (2);4958.33
1609022;Dąbrowa (2);4878.24
1609032;Dobrzeń Wielki (2);6111.14
1609042;Komprachcice (2);4782.55
1609052;Łubniany (2);5307.55
1609062;Murów (2);4672.27
1609073;Niemodlin (3);5236.28
1609083;Ozimek (3);4464.49
1609092;Popielów (2);5252.92
1609103;Prószków (3);5370.62
1609112;Tarnów Opolski (2);4547.43
1609123;Tułowice (3);4839.47
1609132;Turawa (2);4812.39
